GEOID,Municipality,Need Cohort,Population,Limited Revenue Capacity,Economic Need,Demographic Vulnerability
1745564,McCook,4,220,1,9,9
1745616,McCullom Lake,5,1008,4,9,9
1745642,Macedonia,4,63,9,7,4
1745694,McHenry,2,27061,2,3,8
1745726,Machesney Park,3,22677,4,7,7
1745785,Mackinaw,1,1884,4,1,1
1745811,McLean,2,795,4,4,6
1745824,McLeansboro,4,2746,8,6,6
1745850,McNabb,3,260,5,3,8
1745889,Macomb,5,17413,6,9,7
1745941,Macon,1,1112,5,1,5
1745993,Madison,5,3758,6,10,8
1746058,Maeystown,1,162,4,1,2
1746110,Magnolia,4,248,8,3,8
1746136,Mahomet,1,8605,2,1,4
1746214,Makanda,1,530,2,3,5
1746240,Malden,3,341,7,3,6
1746279,Malta,1,1158,4,2,4
1746331,Manchester,3,269,8,5,4
1746357,Manhattan,1,8240,2,2,4
1746383,Manito,2,1486,6,7,1
1746422,Manlius,2,334,6,6,1
1746487,Mansfield,1,948,5,1,1
1746500,Manteno,3,9002,3,6,6
1746604,Maple Park,2,1365,2,3,8
1746643,Mapleton,1,269,2,3,1
1746695,Maquon,2,260,8,5,1
1746786,Marengo,2,7437,3,3,8
1746825,Marietta,5,109,9,9,6
1746864,Marine,1,922,4,1,6
1746916,Marion,3,17520,2,8,5
1746955,Marissa,4,1806,7,6,6
1746981,Mark,1,539,4,3,3
1747007,Markham,5,12314,6,10,9
1747072,Maroa,2,1711,6,4,3
1747111,Marquette Heights,3,2645,6,7,5
1747150,Marseilles,4,4834,5,9,7
1747163,Marshall,4,3811,5,8,6
1747254,Martinsville,5,1088,9,8,5
1747280,Martinton,4,343,6,7,7
1747397,Maryville,1,7952,2,2,6
1747423,Mascoutah,2,7994,3,4,6
1747449,Mason,4,336,9,5,7
1747475,Mason City,3,2119,8,8,1
1747527,Matherville,1,662,6,2,3
1747540,Matteson,3,19448,3,5,9
1747553,Mattoon,3,17615,5,8,3
1747592,Maunie,5,130,10,8,7
1747774,Maywood,5,23158,6,10,10
1747787,Mazon,3,967,3,6,6
1748021,Mechanicsburg,1,661,4,4,2
1748073,Media,1,94,4,5,2
1748138,Medora,2,392,9,4,1
1748242,Melrose Park,5,24703,2,10,10
1748268,Melvin,3,410,8,5,2
1748307,Mendon,2,961,7,4,1
1748333,Mendota,5,6994,5,8,9
1748359,Menominee,1,240,4,3,4
1748424,Meredosia,3,972,8,8,1
1748554,Merrionette Park,4,1858,2,9,9
1748606,Metamora,1,3699,3,2,6
1748632,Metcalf,5,171,10,7,5
1748645,Metropolis,5,5945,6,10,7
1748671,Mettawa,1,543,1,1,8
1748853,Middletown,5,304,8,7,8
1748892,Midlothian,5,14346,5,8,9
1749009,Milan,2,4991,2,5,7
1749048,Milford,5,1171,9,9,5
1749100,Millbrook,1,328,2,1,7
1749178,Mill Creek,3,64,9,8,1
1749191,Milledgeville,2,952,5,4,3
1749308,Millington,2,659,3,4,7
1749347,Mill Shoals,4,197,10,7,4
1749386,Millstadt,1,3857,2,2,5
1749477,Milton,4,266,9,9,1
1749516,Mineral,4,222,8,6,5
1749555,Minier,1,1190,4,2,4
1749568,Minonk,1,1974,4,3,1
1749607,Minooka,2,11397,2,3,8
1749802,Modesto,4,178,6,9,4
1749854,Mokena,1,20159,1,1,7
1749867,Moline,3,41356,3,6,8
1749893,Momence,4,3094,4,7,9
1749945,Monee,2,5061,2,2,8
1750010,Monmouth,5,8886,7,9,9
1750062,Monroe Center,3,435,4,7,7
1750218,Montgomery,3,19638,2,4,9
1750244,Monticello,1,5534,2,2,5
1750283,Montrose,1,195,4,1,1
1750491,Morris,2,15053,2,4,7
1750530,Morrison,2,3988,5,3,4
1750543,Morrisonville,2,998,6,2,5
1750621,Morton,1,16277,2,1,6
1750647,Morton Grove,2,22796,1,3,9
1750751,Mound City,5,504,5,10,7
1750777,Mounds,5,684,9,10,8
1750790,Mound Station,3,116,7,4,5
1750829,Mount Auburn,1,450,6,3,1
1750868,Mount Carmel,4,7001,6,8,7
1750881,Mount Carroll,3,1571,7,5,5
1750920,Mount Clare,3,263,5,6,5
1750933,Mount Erie,2,83,7,4,1
1750998,Mount Morris,3,2794,7,9,1
1751024,Mount Olive,2,1939,7,6,1
1751089,Mount Prospect,2,53719,1,2,9
1751128,Mount Pulaski,1,1464,5,2,4
1751154,Mount Sterling,5,1909,5,9,9
1751180,Mount Vernon,4,14723,4,9,7
1751206,Mount Zion,1,5795,3,2,4
1751232,Moweaqua,2,1714,5,3,4
1751271,Muddy,3,63,3,8,7
1751284,Mulberry Grove,2,575,7,3,3
1751336,Muncie,3,138,8,4,4
1751349,Mundelein,2,31051,2,3,9
1751453,Murphysboro,5,7406,7,9,7
1751479,Murrayville,3,548,7,2,6
1751622,Naperville,1,148449,1,1,9
1751648,Naplate,1,470,6,2,2
1751661,Naples,3,119,4,9,5
1751700,Nashville,1,3011,3,3,4
1751726,Nason,4,233,9,9,1
1751791,Nauvoo,3,1063,4,6,5
1751882,Nebo,4,328,10,9,1
1751947,Nelson,3,159,6,4,7
1751986,Neoga,2,1602,6,4,2
1751999,Neponset,3,436,6,6,5
1752103,Newark,3,1028,3,5,9
1752116,New Athens,1,1884,5,1,5
1752142,New Baden,2,3241,4,3,7
1752155,New Bedford,2,70,7,6,1
1752168,New Berlin,1,1333,4,3,1
1752220,New Boston,5,650,7,10,5
1752285,New Burnside,3,214,10,7,1
1752311,New Canton,3,346,10,6,1
1752415,New Douglas,3,307,7,4,4
1752467,New Grand Chain,5,182,10,10,7
1752506,New Haven,3,382,10,5,2
1752545,New Holland,2,268,5,2,5
1752584,New Lenox,1,26926,1,1,6
1752623,Newman,4,833,7,7,6
1752701,New Milford,3,699,5,4,8
1752714,New Minden,3,206,7,5,6
1752805,New Salem,4,134,8,9,2
1752844,Newton,5,2863,6,9,7
1752961,Niantic,3,655,6,6,3
1753000,Niles,3,28938,1,5,9
1753039,Nilwood,4,229,9,4,6
1753143,Noble,4,641,9,4,7
1753169,Nokomis,2,2110,7,5,1
1753195,Nora,3,116,6,5,5
1753234,Normal,3,54469,4,4,7
1753377,Norridge,2,14152,1,4,9
1753390,Norris,2,200,8,4,1
1753403,Norris City,5,1151,9,8,7
1753442,North Aurora,2,18057,2,3,9
1753455,North Barrington,1,2952,1,1,6
1753481,Northbrook,1,32958,1,1,8
1753559,North Chicago,5,29615,8,9,9
1753585,North City,5,569,10,9,4
1753663,Northfield,1,5386,1,1,8
1753793,North Henderson,3,174,8,5,2
1753871,Northlake,4,12161,1,9,10
1754092,North Pekin,3,1545,4,7,5
1754144,North Riverside,3,6429,1,6,9
1754222,North Utica,1,1336,1,2,2
1754404,Norwood,4,459,7,5,7
1754534,Oak Brook,1,8016,1,1,9
1754560,Oakbrook Terrace,2,2098,1,2,9
1754586,Oakdale,2,200,5,4,5
1754625,Oakford,2,276,8,4,1
1754638,Oak Forest,3,27173,4,4,9
1754703,Oak Grove,3,591,9,2,5
1754781,Oakland,3,854,7,8,2
1754820,Oak Lawn,4,55022,3,7,9
1754885,Oak Park,1,52381,1,2,8
1755002,Oakwood,2,1485,6,4,4
1755041,Oakwood Hills,1,2028,2,1,7
1755106,Oblong,4,1371,7,6,6
1755132,Oconee,3,172,8,8,1
1755171,Odell,2,964,6,3,4
1755210,Odin,5,1009,8,9,6
1755249,O'Fallon,2,29583,2,2,8
1755275,Ogden,1,800,4,1,4
1755353,Oglesby,3,3559,4,4,7
1755379,Ohio,2,480,8,3,2
1755418,Ohlman,2,126,7,5,1
1755470,Okawville,1,1360,3,2,5
1755639,Old Mill Creek,2,167,1,2,9
1755717,Old Ripley,3,99,9,5,2
1755756,Old Shawneetown,5,164,6,10,6
1755899,Olmsted,5,294,10,10,7
1755912,Olney,4,8674,5,9,5
1755938,Olympia Fields,2,4790,2,3,9
1756003,Omaha,3,228,9,5,2
1756081,Onarga,5,1264,8,8,9
1756159,Oneida,2,662,6,3,3
1756237,Oquawka,2,1252,6,6,2
1756341,Orangeville,2,752,6,4,2
1756471,Oreana,4,811,6,7,7
1756484,Oregon,3,3470,5,6,6
1756536,Orient,5,343,10,9,4
1756601,Orion,1,1798,4,1,4
1756627,Orland Hills,3,7023,3,6,8
1756640,Orland Park,1,57857,1,2,8
1756887,Oswego,2,36252,2,2,9
1756926,Ottawa,3,18063,3,8,7
1756978,Otterville,3,118,9,5,1
1757043,Owaneco,4,223,7,7,7
1757225,Palatine,2,67482,1,2,9
1757277,Palestine,5,1273,8,10,9
1757303,Palmer,2,205,7,2,5
1757329,Palmyra,4,659,8,9,4
1757381,Palos Heights,1,12520,1,2,7
1757394,Palos Hills,3,17060,3,6,9
1757407,Palos Park,1,4736,1,1,8
1757472,Pana,4,5376,8,7,5
1757498,Panama,5,319,9,8,6
1757524,Panola,1,52,4,3,2
1757576,Papineau,4,149,7,7,7
1757628,Paris,4,8285,6,9,5
1757654,Park City,5,7438,8,9,10
1757693,Parkersburg,3,200,9,7,1
1757732,Park Forest,5,21210,9,8,9
1757875,Park Ridge,1,36950,1,1,8
1758057,Patoka,3,547,8,7,1
1758174,Pawnee,1,2640,4,4,3
1758226,Paw Paw,3,848,5,6,6
1758239,Paxton,4,4125,6,6,7
1758265,Payson,1,990,6,4,1
1758343,Pearl,4,132,10,9,1
1758369,Pearl City,2,783,6,2,6
1758408,Pecatonica,1,2078,5,1,2
1758447,Pekin,3,32045,5,7,3
1759000,Peoria,4,110417,3,8,9
1759026,Peoria Heights,3,5779,4,5,6
1759052,Peotone,2,4105,2,4,7
1759104,Percy,5,919,8,8,7
1759156,Perry,4,382,9,9,2
1759234,Peru,3,9730,2,6,7
1759273,Pesotum,1,524,4,2,3
1759312,Petersburg,2,2214,4,6,2
1759520,Phillipstown,4,41,9,9,1
1759533,Philo,1,1400,3,2,3
1759572,Phoenix,5,1908,9,10,10
1759709,Pierron,3,544,9,5,4
1759884,Pinckneyville,5,5372,8,10,7
1759988,Pingree Grove,1,9874,2,1,7
1760079,Piper City,3,750,7,7,3
1760209,Pittsburg,4,551,8,8,4
1760222,Pittsfield,4,4254,5,8,6
1760287,Plainfield,1,44308,1,1,9
1760339,Plainville,2,255,8,4,1
1760352,Plano,4,11665,3,8,9
1760391,Plattville,3,256,2,5,9
1760534,Pleasant Hill,3,925,8,6,1
1760599,Pleasant Plains,1,791,4,3,1
1760833,Plymouth,4,466,10,8,3
1760872,Pocahontas,3,731,8,6,4
1760937,Polo,4,2171,6,7,7
1761015,Pontiac,4,11253,6,9,6
1761067,Pontoon Beach,4,5641,3,9,8
1761080,Pontoosuc,2,136,6,4,4
1761145,Poplar Grove,3,5104,3,4,8
1761216,Port Barrington,2,1488,1,3,9
1761223,Port Byron,2,1607,2,6,6
1761314,Posen,5,5865,6,10,9
1761366,Potomac,3,690,8,4,5
1761548,Prairie City,5,351,9,9,5
1761639,Prairie du Rocher,2,558,7,6,1
1761678,Prairie Grove,1,1931,1,1,7
1761899,Princeton,2,7468,3,5,6
1761925,Princeville,1,1672,4,3,3
1761977,Prophetstown,3,1939,6,8,2
1762016,Prospect Heights,2,15887,2,3,9
1762211,Pulaski,5,175,9,10,8
1762367,Quincy,3,39949,4,6,5
1762523,Radom,3,211,7,4,5
1762588,Raleigh,3,329,8,5,5
1762627,Ramsey,5,1011,9,8,6
1762744,Rankin,4,513,9,6,5
1762757,Ransom,4,356,5,9,5
1762783,Rantoul,5,12493,6,9,9
1762822,Rapids City,2,967,2,6,6
1762848,Raritan,3,122,8,5,2
1762965,Raymond,2,942,5,5,4
1763043,Red Bud,1,3480,2,7,2
1763056,Reddick,1,157,4,4,3
1763069,Redmon,4,158,9,7,5
1763420,Reynolds,1,507,4,1,3
1763641,Richmond,2,1904,2,5,7
1763706,Richton Park,5,13292,5,9,9
1763719,Richview,3,243,7,5,6
1763862,Ridge Farm,3,812,8,5,2
1764018,Ridgway,3,747,8,5,2
1764044,Ridott,2,151,8,4,2
1764135,Ringwood,1,813,1,1,4
1764148,Rio,2,207,7,3,3
1764174,Ripley,3,82,9,4,5
1764278,Riverdale,5,13077,8,10,9
1764304,River Forest,1,10816,1,1,8
1764343,River Grove,3,9883,2,7,9
1764421,Riverside,1,8563,1,2,8
1764486,Riverton,3,3434,5,6,4
1764538,Riverwoods,1,3562,1,1,9
1764590,Roanoke,1,1990,4,1,2
1764616,Robbins,5,5438,8,10,9
1764655,Roberts,3,329,8,8,1
1764707,Robinson,5,7341,5,9,8
1764746,Rochelle,4,9052,2,8,9
1764759,Rochester,1,3709,2,1,4
1764811,Rockbridge,3,157,7,9,2
1764837,Rock City,1,283,1,3,5
1764902,Rockdale,4,1910,2,8,9
1764928,Rock Falls,5,8740,7,9,8
1765000,Rockford,5,145609,6,9,9
1765078,Rock Island,4,37176,4,8,9
1765156,Rockton,2,7441,3,4,6
1765221,Rockwood,1,41,6,3,1
1765338,Rolling Meadows,2,23532,1,3,9
1765442,Romeoville,3,39746,1,6,9
1765481,Roodhouse,4,1677,9,10,2
1765611,Roscoe,1,10510,3,2,5
1765754,Rose Hill,3,81,8,5,2
1765806,Roselle,2,22463,1,2,9
1765819,Rosemont,3,4066,1,7,9
1765845,Roseville,3,898,6,6,4
1765897,Rosiclare,4,1014,10,10,1
1765962,Rossville,3,1217,7,6,5
1766027,Round Lake,3,18100,3,4,9
1766040,Round Lake Beach,4,27100,4,8,9
1766053,Round Lake Heights,4,2645,4,7,9
1766066,Round Lake Park,4,7747,6,6,9
1766131,Roxana,2,1434,1,9,3
1766157,Royal,1,277,2,1,4
1766196,Royal Lakes,5,185,9,8,6
1766209,Royalton,4,1117,9,10,2
1766287,Ruma,1,304,4,6,1
1766339,Rushville,5,2847,6,8,8
1766404,Russellville,4,86,10,4,6
1766443,Rutland,4,304,8,6,7
1766534,Sadorus,1,390,4,2,3
1766599,Sailor Springs,5,93,10,8,6
1766638,St. Anne,5,1193,5,8,9
1766677,St. Augustine,4,112,7,10,2
1766703,St. Charles,1,32887,1,1,8
1766768,St. David,3,527,8,7,1
1766794,St. Elmo,5,1403,8,10,5
1766800,Ste. Marie,3,238,6,5,5
1766833,St. Francisville,5,622,10,10,9
1766859,St. Jacob,1,1319,4,1,4
1766924,St. Johns,4,208,8,10,3
1766950,St. Joseph,1,3860,3,1,4
1766989,St. Libory,3,603,4,6,6
1767132,St. Peter,4,341,6,9,4
1767158,St. Rose,1,407,3,2,5
1767236,Salem,4,6971,5,10,6
1767372,Sammons Point,3,259,4,5,6
1767444,Sandoval,5,1214,9,10,3
1767548,Sandwich,3,7418,3,4,8
1767613,San Jose,3,594,9,3,4
1767756,Sauget,4,168,1,10,9
1767769,Sauk Village,5,10246,6,10,9
1767795,Saunemin,4,404,7,6,8
1767821,Savanna,5,2797,7,9,7
1767860,Savoy,2,8401,2,2,8
1767873,Sawyerville,5,266,8,10,5
1767912,Saybrook,1,668,6,4,1
1767925,Scales Mound,2,356,4,5,5
1768003,Schaumburg,2,72887,1,2,9
1768081,Schiller Park,4,11403,1,9,9
1768120,Schram City,4,550,7,7,6
1768198,Sciota,3,56,5,6,5
1768406,Scottville,4,110,7,9,4
1768458,Seaton,5,202,7,10,5
1768471,Seatonville,5,296,6,8,9
1768510,Secor,2,355,7,3,2
1768640,Seneca,3,2251,2,9,6
1768705,Sesser,3,1860,8,7,2
1768822,Shabbona,2,920,3,4,7
1768991,Shannon,3,688,5,6,6
1769082,Shawneetown,5,1077,10,10,6
1769147,Sheffield,3,863,6,6,5
1769186,Shelbyville,3,4495,4,9,2
1769212,Sheldon,5,949,9,8,5
1769277,Sheridan,5,2520,10,8,8
1769342,Sherman,1,4679,2,1,1
1769368,Sherrard,1,594,4,2,3
1769524,Shiloh,2,13586,3,2,8
1769563,Shipman,2,587,7,4,1
1769758,Shorewood,1,17509,1,1,8
1769797,Shumway,3,195,8,2,5
1769810,Sibley,2,252,7,5,2
1769836,Sidell,3,563,9,6,1
1769875,Sidney,1,1191,4,2,3
1769914,Sigel,2,355,5,2,5
1769979,Silvis,4,7475,3,9,7
1770005,Simpson,3,60,10,7,1
1770031,Sims,4,240,10,6,4
1770122,Skokie,3,62700,1,5,9
1770161,Sleepy Hollow,1,3244,1,1,8
1770213,Smithboro,2,165,6,3,3
1770226,Smithfield,5,221,9,9,6
1770252,Smithton,2,3816,3,2,7
1770460,Somonauk,1,1871,3,2,3
1770525,Sorento,3,469,10,5,2
1770564,South Barrington,1,4996,1,1,9
1770590,South Beloit,4,7624,4,8,8
1770629,South Chicago Heights,5,4003,4,10,9
1770720,South Elgin,2,24755,2,3,9
1770759,Southern View,4,1570,4,9,6
1770850,South Holland,5,21296,4,9,9
1770889,South Jacksonville,1,3102,4,3,3
1771175,South Pekin,5,1093,8,9,7
1771240,South Roxana,5,1991,8,10,7
1771370,South Wilmington,3,644,4,7,5
1771422,Sparland,2,367,8,3,1
1771448,Sparta,4,4273,5,7,7
1771474,Spaulding,2,849,3,6,4
1771526,Spillertown,2,196,4,3,5
1771604,Spring Bay,3,462,5,7,5
1771643,Springerton,4,102,8,7,4
1772000,Springfield,3,114230,3,6,7
1772052,Spring Grove,1,5706,1,2,7
1772156,Spring Valley,4,5125,5,8,8
1772221,Standard,1,203,5,3,3
1772234,Standard City,4,145,9,4,6
1772260,Stanford,3,598,5,4,6
1772403,Staunton,2,4954,5,8,1
1772468,Steeleville,4,1925,4,8,7
1772520,Steger,5,9221,5,9,8
1772546,Sterling,5,14463,6,7,9
1772624,Steward,3,241,6,7,3
1772650,Stewardson,2,721,6,2,5
1772676,Stickney,3,6566,4,5,9
1772702,Stillman Valley,3,1053,4,7,7
1772780,Stockton,3,1712,5,8,2
1772884,Stonefort,5,285,9,8,6
1772923,Stone Park,5,4826,7,10,10
1772949,Stonington,1,846,4,2,1
1773027,Stoy,3,115,6,6,6
1773040,Strasburg,1,439,5,5,1
1773131,Strawn,5,93,7,8,7
1773157,Streamwood,3,39228,3,5,9
1773170,Streator,5,13113,7,9,7
1773261,Stronghurst,2,789,6,5,2
1773287,Sublette,3,421,4,6,6
1773391,Sugar Grove,1,9888,1,1,8
1773495,Sullivan,3,4433,5,7,6
1773547,Summerfield,3,395,7,3,5
1773638,Summit,5,11116,5,10,10
1773703,Sumner,5,2980,10,10,9
1773943,Sun River Terrace,5,496,7,6,9
1774119,Swansea,2,13350,3,3,8
1774223,Sycamore,2,18322,2,3,7
1774275,Symerton,2,91,3,3,8
1774301,Table Grove,5,383,9,9,6
1774379,Tallula,2,474,7,4,1
1774444,Tamaroa,4,597,8,7,4
1774457,Tamms,5,472,9,10,4
1774470,Tampico,4,729,7,8,6
1774561,Taylor Springs,5,659,8,10,7
1774574,Taylorville,3,10360,5,7,3
1774665,Tennessee,3,108,8,8,1
1774743,Teutopolis,1,1642,2,1,1
1774847,Thawville,5,244,9,7,6
1774860,Thayer,2,655,6,5,2
1774873,Thebes,5,321,10,9,7
1775081,Third Lake,1,1146,1,1,9
1775107,Thomasboro,2,1084,6,3,5
1775159,Thompsonville,5,526,7,9,6
1775172,Thomson,3,551,5,7,4
1775185,Thornton,3,2401,3,6,9
1775263,Tilden,5,881,9,9,5
1775276,Tilton,5,2686,6,10,6
1775360,Timberlane,3,946,2,5,8
1775419,Time,4,22,9,9,1
1775484,Tinley Park,2,55773,2,3,8
1775549,Tiskilwa,3,766,7,6,3
1775601,Toledo,4,1190,6,7,6
1775614,Tolono,1,3392,4,2,3
1775653,Toluca,4,1269,6,7,7
1775718,Tonica,3,715,4,6,7
1775757,Topeka,4,70,9,9,2
1775783,Toulon,3,1161,6,8,2
1775809,Tovey,4,476,8,8,4
1775822,Towanda,1,462,3,1,5
1775848,Tower Hill,4,588,10,9,1
1775874,Tower Lakes,1,1226,1,1,7
1775965,Tremont,1,2120,3,1,6
1775991,Trenton,1,2590,3,1,1
1776160,Trout Valley,2,513,1,2,9
1776199,Troy,1,10375,2,2,4
1776225,Troy Grove,3,238,3,6,9
1776407,Tuscola,2,4363,4,5,3
1776615,Ullin,5,400,9,10,8
1776706,Union,1,553,1,1,8
1776771,Union Hill,1,57,3,4,3
1776935,University Park,3,6887,2,6,9
1777005,Urbana,4,42214,4,8,9
1777044,Ursa,1,605,4,4,1
1777148,Valier,5,637,9,9,4
1777187,Valley City,2,13,3,9,2
1777265,Valmeyer,1,1248,4,1,3
1777317,Vandalia,5,6684,7,10,7
1777395,Varna,3,347,5,6,6
1777408,Venedy,2,133,7,2,5
1777473,Venice,5,1858,8,10,9
1777525,Vergennes,3,281,9,5,3
1777551,Vermilion,3,202,9,6,1
1777642,Vermont,4,640,9,9,1
1777681,Vernon,2,118,4,7,1
1777694,Vernon Hills,1,26521,1,1,9
1777707,Verona,3,206,5,6,6
1777720,Versailles,3,458,8,4,5
1777811,Victoria,3,289,9,3,3
1777863,Vienna,3,1440,7,10,1
1777941,Villa Grove,4,2418,7,6,6
1777993,Villa Park,2,21483,1,3,9
1778123,Viola,2,888,5,5,2
1778149,Virden,2,3330,7,4,1
1778175,Virgil,1,327,2,2,6
1778201,Virginia,3,1435,7,4,6
1778227,Volo,2,5813,2,2,9
1778370,Wadsworth,2,3651,1,3,9
1778383,Waggoner,4,253,10,5,4
1778526,Walnut,2,1306,6,6,1
1778604,Walnut Hill,4,104,8,8,4
1778656,Walshville,2,62,8,1,4
1778708,Waltonville,3,432,8,9,1
1778721,Wamac,5,1123,8,10,7
1778773,Wapella,1,522,5,2,3
1778851,Warren,3,1304,6,5,5
1778916,Warrensburg,3,1126,6,6,3
1778929,Warrenville,3,13174,1,5,9
1778942,Warsaw,3,1480,6,8,2
1779007,Washburn,3,1082,7,7,2
1779033,Washington,1,16516,3,1,5
1779085,Washington Park,5,3865,10,10,8
1779124,Wataga,2,786,7,2,5
1779150,Waterloo,1,10578,2,1,5
1779163,Waterman,2,1500,3,4,7
1779228,Watseka,5,4767,6,9,7
1779241,Watson,4,732,7,5,7
1779267,Wauconda,2,13504,2,3,9
1779293,Waukegan,5,86075,4,10,10
1779358,Waverly,2,1194,7,5,1
1779397,Wayne,1,2429,1,1,8
1779436,Wayne City,3,993,6,6,4
1779449,Waynesville,3,410,8,3,6
1779683,Weldon,1,412,7,2,2
1779735,Wellington,5,216,9,9,5
1779813,Wenona,3,938,6,6,6
1779826,Wenonah,1,35,3,5,1
1780008,West Brooklyn,4,133,7,6,6
1780047,Westchester,2,16117,1,2,9
1780060,West Chicago,3,26816,2,6,9
1780073,West City,3,638,2,10,5
1780125,West Dundee,1,8113,1,1,7
1780242,Western Springs,1,13359,1,1,5
1780281,Westfield,2,558,9,4,1
1780333,West Frankfort,5,7823,8,10,4
1780645,Westmont,2,24443,1,2,9
1780736,West Peoria,5,4455,7,8,7
1780762,West Point,4,163,10,8,3
1780853,West Salem,4,851,9,5,6
1780931,Westville,5,2945,7,9,6
1781048,Wheaton,1,52745,1,1,8
1781074,Wheeler,4,146,10,5,5
1781087,Wheeling,3,38646,1,6,9
1781191,White City,5,230,7,10,5
1781256,White Hall,5,2329,8,9,5
1781802,Williamsfield,2,545,6,5,1
1781815,Williamson,3,215,8,4,4
1781854,Williamsville,1,1485,2,1,1
1781867,Willisville,4,587,10,8,1
1781919,Willowbrook,1,8579,1,1,8
1782010,Willow Hill,4,228,9,5,5
1782049,Willow Springs,2,5621,1,3,9
1782075,Wilmette,1,27089,1,1,8
1782088,Wilmington (village),4,132,10,8,2
1782101,Wilmington (city),2,5653,1,7,6
1782218,Wilsonville,4,553,9,6,5
1782270,Winchester,3,1467,6,5,4
1782309,Windsor (village),2,772,7,5,2
1782322,Windsor (city),2,1151,7,5,1
1782400,Winfield,1,9636,1,1,8
1782491,Winnebago,1,2991,4,2,5
1782530,Winnetka,1,12316,1,1,6
1782543,Winslow,2,312,6,3,5
1782686,Winthrop Harbor,2,6618,3,2,7
1782725,Witt,4,843,9,10,1
1782855,Wonder Lake,1,3882,2,2,7
1782985,Wood Dale,3,13607,1,6,9
1783063,Woodhull,1,783,4,2,5
1783102,Woodland,4,297,8,8,5
1783206,Woodlawn,3,682,8,9,1
1783245,Woodridge,2,33432,1,2,9
1783271,Wood River,3,10051,5,9,3
1783336,Woodson,2,485,6,2,6
1783349,Woodstock,3,25240,3,6,9
1783505,Worden,1,1041,5,2,2
1783518,Worth,4,10466,4,7,9
1783622,Wyanet,3,923,7,6,3
1783687,Wyoming,2,1273,7,3,4
1783739,Xenia,4,368,8,5,6
1783765,Yale,3,85,9,5,2
1783817,Yates City,1,652,5,5,1
1784038,Yorkville,2,20613,2,2,9
1784155,Zeigler,5,1712,10,10,2
1784220,Zion,5,23487,5,10,9
