GEOID,MUNI,SCORE_YEAR3,SCORE_YEAR2,SCORE_YEAR1,WEIGHTED_SCORE_3YR,COHORT_3YR
1735515,Holiday Hills,11.11111111111111,14.814814814814813,11.11111111111111,12.345679012345679,4
1735835,Homer Glen,70.37037037037037,70.37037037037037,70.37037037037037,70.37037037037037,1
1735866,Hometown,7.4074074074074066,7.4074074074074066,7.4074074074074066,7.407407407407407,4
1735879,Homewood,48.148148148148145,51.85185185185185,51.85185185185185,50.617283950617285,2
1736750,Huntley,55.55555555555556,55.55555555555556,55.55555555555556,55.555555555555564,2
1737218,Indian Creek,40.74074074074074,48.148148148148145,37.03703703703704,41.97530864197531,3
1737257,Indian Head Park,37.03703703703704,40.74074074074074,40.74074074074074,39.50617283950617,3
1737608,Inverness,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,1
1737894,Island Lake,40.74074074074074,37.03703703703704,40.74074074074074,39.50617283950617,3
1737907,Itasca,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,1
1738479,Johnsburg,55.55555555555556,59.25925925925925,55.55555555555556,56.79012345679013,2
1738570,Joliet,55.55555555555556,55.55555555555556,55.55555555555556,55.555555555555564,2
1738830,Justice,22.22222222222222,22.22222222222222,22.22222222222222,22.222222222222218,4
1738895,Kaneville,14.814814814814813,14.814814814814813,11.11111111111111,13.580246913580245,4
1739519,Kenilworth,70.37037037037037,70.37037037037037,70.37037037037037,70.37037037037037,1
1739883,Kildeer,70.37037037037037,74.07407407407408,70.37037037037037,71.60493827160495,1
1740767,La Grange,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,1
1740793,La Grange Park,48.148148148148145,55.55555555555556,51.85185185185185,51.85185185185185,2
1740884,Lake Barrington,55.55555555555556,59.25925925925925,59.25925925925925,58.02469135802469,2
1740910,Lake Bluff,77.77777777777779,77.77777777777779,77.77777777777779,77.77777777777779,1
1741105,Lake Forest,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888887,1
1741183,Lake in the Hills,59.25925925925925,59.25925925925925,59.25925925925925,59.25925925925926,2
1741586,Lake Villa,51.85185185185185,51.85185185185185,51.85185185185185,51.85185185185185,2
1741742,Lake Zurich,77.77777777777779,74.07407407407408,74.07407407407408,75.30864197530865,1
1741326,Lakemoor,51.85185185185185,37.03703703703704,48.148148148148145,45.67901234567901,2
1741651,Lakewood,55.55555555555556,55.55555555555556,55.55555555555556,55.555555555555564,2
1742028,Lansing,33.33333333333333,37.03703703703704,37.03703703703704,35.80246913580247,4
1742795,Lemont,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,1
1743250,Libertyville,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,1
1743406,Lily Lake,33.33333333333333,44.44444444444444,37.03703703703704,38.2716049382716,3
1743666,Lincolnshire,70.37037037037037,70.37037037037037,70.37037037037037,70.37037037037037,1
1743744,Lincolnwood,66.66666666666666,62.96296296296296,66.66666666666666,65.43209876543209,1
1743770,Lindenhurst,51.85185185185185,51.85185185185185,51.85185185185185,51.85185185185185,2
1743900,Lisbon,11.11111111111111,11.11111111111111,14.814814814814813,12.345679012345679,4
1743939,Lisle,66.66666666666666,66.66666666666666,70.37037037037037,67.90123456790123,1
1744225,Lockport,62.96296296296296,59.25925925925925,59.25925925925925,60.49382716049382,2
1744407,Lombard,66.66666666666666,70.37037037037037,66.66666666666666,67.90123456790123,1
1744524,Long Grove,74.07407407407408,74.07407407407408,77.77777777777779,75.30864197530865,1
1745421,Lynwood,25.925925925925924,29.629629629629626,37.03703703703704,30.864197530864192,4
1745434,Lyons,25.925925925925924,29.629629629629626,29.629629629629626,28.39506172839506,4
