GEOID,MUNI,WEIGHTED_SCORE_3YR,COHORT_3YR
1780242,Western Springs,80.55555555555556,1
1780645,Westmont,69.44444444444444,1
1781048,Wheaton,80.55555555555556,1
1781087,Wheeling,52.77777777777778,2
1782049,Willow Springs,57.40740740740741,2
1781919,Willowbrook,69.44444444444444,1
1782075,Wilmette,89.81481481481482,1
1782101,Wilmington,47.22222222222222,2
1782400,Winfield,67.5925925925926,1
1782530,Winnetka,88.88888888888887,1
1782686,Winthrop Harbor,38.88888888888889,3
1782855,Wonder Lake,46.2962962962963,2
1782985,Wood Dale,67.59259259259258,1
1783245,Woodridge,72.22222222222221,1
1783349,Woodstock,57.40740740740741,2
1783518,Worth,43.51851851851851,3
1784038,Yorkville,70.37037037037037,1
1784220,Zion,36.11111111111111,4
